,super_opeid,mr_overall,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
253,1138,2.20106855,2.32775249,2.2712627949999997,2.4502357,2.13916873,2.0530910749999998
254,1147,2.37339215,2.57633527,2.4608398300000003,2.42453568,2.32841437,2.2082674
255,1137,2.29547255,2.34665318,2.3413144,2.35343635,2.291757696,2.23278482
256,1139,2.25171534,2.305690725,2.3134585999999997,2.287067965,2.2193322749999997,2.21204223
257,1140,2.41698362,2.4717524,2.40456713,2.4768994699999998,2.3075508499999997,2.279524615
258,32603,2.47174073,2.324272988,2.6742270599999998,2.60698027,2.50059689,2.3749332700000005
259,1153,2.3912543499999996,2.4829953600000003,2.43813868,2.41493028,2.30310941,2.32519598
260,1142,2.41792353,2.50708685,2.61983939,2.43063143,2.37973249,2.23949556
261,30113,2.3753487499999997,2.62966619,2.35290389,2.3754674000000002,2.31428906,2.35992505
262,1157,2.41338506,2.4539179,2.44576936,2.43812197,2.3925635400000003,2.36988002
263,3316,2.55120558,2.8062088000000003,2.650356235,2.66679517,2.444314505,2.373094435
264,2241,2.3969134700000003,2.64885817,2.7156002100000003,2.4035534199999997,2.39137059,2.34682864
265,4889,3.281413936,3.4943168100000004,3.2858480599999997,3.242481853,2.9364928299999997,4.14374503
266,6865,2.84535676,3.15763702,3.04254535,2.8586879699999996,2.77903918,2.60633846
267,3150,2.7586742500000003,3.03954301,2.84363951,2.6859714300000004,2.6792255099999998,2.5083528100000003
268,2913,2.41034744,2.59363456,2.5006257949999995,2.48423938,2.30571874,2.28231885
269,1959,2.79670941,2.8344975550000004,2.8346469,2.7938525349999996,2.8092700099999997,2.72762016
270,2681,2.08542989,2.327989645,2.1461771549999997,2.094634816,2.0818454969999998,2.020199613
271,2168,2.99576432,3.07257264,3.0594147400000002,3.11137398,2.90655179,2.873656600000001
272,5320,3.1286285200000004,3.361906344,3.28596208,3.12062611,3.05840532,2.9550953800000004
273,5488,2.99844297,3.32360466,3.1125038299999996,2.84843096,2.67869725,2.6938505399999997
274,7635,2.91632677,2.98538463,3.04320548,2.92052263,2.74881729,2.73325845
275,3023,2.323021115,2.658603495,2.5334937949999996,2.3749391650000002,2.20561587,2.24680576
276,112,3.4232075400000004,3.71053187,3.423179941,3.385634132,3.3776969070000007,3.33851961
277,3837,2.398303995,2.321337661,2.67411207445,2.514815055,2.3724193430000002,2.238301235
278,3176,3.07006433,3.4221279200000003,3.1611366199999997,2.9716166999999998,2.65361396,2.9934283500000003
